filters_0,kernel_0,filters_1,kernel_1,filters_2,kernel_2,filters_3,kernel_3,units_0,units_1,convolution_layers,hidden_layers,score,trial
32,5,256,5,128,5,128,5,64,32,4,2,0.24560382962226868,09
64,5,128,3,16,3,256,3,256,256,4,1,0.2463347166776657,00
16,5,128,5,128,5,64,5,128,64,4,2,0.24933938682079315,17
256,5,64,3,64,5,64,3,128,128,4,2,0.2555188834667206,20
64,3,64,3,128,5,16,5,256,128,4,2,0.25588294863700867,22
128,3,128,5,128,3,32,3,32,64,3,2,0.2693102955818176,15
128,3,64,5,32,5,32,3,32,256,4,1,0.26963716745376587,25
16,5,128,5,32,3,256,5,128,64,4,1,0.2699318826198578,34
16,5,256,3,128,3,128,5,256,64,4,1,0.27106061577796936,37
64,3,256,3,128,3,64,3,32,256,3,1,0.2721366584300995,07
64,5,32,5,32,5,128,3,64,32,3,2,0.27612733840942383,35
128,5,128,5,64,3,32,5,256,32,4,2,0.2793057858943939,39
64,5,32,5,16,5,128,3,128,256,4,2,0.28231585025787354,33
256,5,32,3,128,3,256,3,64,64,4,1,0.2894991636276245,38
128,5,128,5,256,5,256,3,32,32,3,1,0.2958630919456482,12
64,5,64,5,128,3,64,5,128,64,3,1,0.29904496669769287,16
256,5,32,3,256,3,16,5,64,256,4,2,0.304239958524704,24
128,3,16,3,32,3,32,3,64,32,3,1,0.3080069422721863,13
16,3,256,5,256,3,32,5,64,32,2,2,0.3163761496543884,27
128,3,16,3,128,3,64,5,128,128,4,2,0.317215234041214,32
32,3,64,3,16,3,128,3,128,256,2,1,0.32449305057525635,23
128,5,64,3,16,3,16,5,256,64,2,2,0.32811835408210754,19
256,5,32,3,128,5,128,3,64,128,2,1,0.335877001285553,11
16,3,64,5,16,5,64,5,32,256,2,1,0.33725443482398987,21
256,3,16,5,16,5,256,3,64,256,2,1,0.35771024227142334,28
64,3,128,3,64,5,64,5,32,64,3,1,0.41418197751045227,05
32,3,16,3,64,3,256,3,32,256,1,2,0.4245782196521759,36
64,3,32,3,32,3,128,3,64,256,1,2,0.43301212787628174,14
16,3,64,3,32,5,64,5,128,128,1,1,0.45486167073249817,02
64,3,16,3,256,5,128,3,256,32,1,1,0.46029722690582275,29
64,5,128,5,64,5,64,3,32,128,1,2,0.640766978263855,18
128,5,32,3,32,3,16,5,64,128,1,1,0.6843699812889099,30
128,5,16,3,128,5,32,3,128,256,1,1,0.6874687671661377,01
64,5,128,3,64,3,128,5,32,256,1,2,0.6875928044319153,10
32,5,16,5,16,5,32,5,64,32,1,1,0.6877349019050598,08
16,5,256,3,128,3,32,3,32,32,1,1,0.6878831386566162,31
64,5,32,5,256,5,128,5,32,256,2,1,0.6880213022232056,26
64,3,128,5,16,5,128,3,256,128,1,1,0.6883038878440857,03
256,5,32,3,32,3,16,5,128,128,4,1,,04
256,3,32,5,32,3,256,5,64,128,2,2,,06
